Session Code,Filename,Matched Agencies
109-1,LB147_Intro_Copy.docx,Department of Health and Human Services
109-1,LB148_Final_Copy.docx,Department of Health and Human Services
109-1,LB148A_Intro_Copy.docx,None found
109-1,LB149_Intro_Copy.docx,None found
109-1,LB14_Intro_Copy.docx,Department of Agriculture
109-1,LB150_Final_Copy.docx,"Department of Banking and Finance, Department of Correctional Services, Department of Health and Human Services, Department of Revenue, Department of Transportation"
109-1,LB150A_Final_Copy.docx,None found
109-1,LB151_Intro_Copy.docx,Department of Revenue
109-1,LB152_Intro_Copy.docx,Department of Revenue
109-1,LB153_Intro_Copy.docx,Department of Health and Human Services
109-1,LB154_Intro_Copy.docx,None found
109-1,LB155_Intro_Copy.docx,None found
109-1,LB156_Intro_Copy.docx,Department of Health and Human Services
109-1,LB157_Intro_Copy.docx,Department of Revenue
109-1,LB158_Intro_Copy.docx,None found
109-1,LB159_Intro_Copy.docx,None found
109-1,LB15_Intro_Copy.docx,None found
109-1,LB160_Final_Copy.docx,None found
109-1,LB161_Intro_Copy.docx,None found
109-1,LB162_Intro_Copy.docx,None found
109-1,LB163_Intro_Copy.docx,None found
109-1,LB164_Intro_Copy.docx,Department of Economic Development
109-1,LB165_Intro_Copy.docx,None found
109-1,LB166_Final_Copy.docx,None found
109-1,LB167_Final_Copy.docx,None found
109-1,LB168_Final_Copy.docx,None found
109-1,LB169_Intro_Copy.docx,None found
109-1,LB169A_Intro_Copy.docx,Department of Revenue
109-1,LB16_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services, Military Department"
109-1,LB170_Intro_Copy.docx,None found
109-1,LB170A_Intro_Copy.docx,"Department of Administrative Services, Department of Revenue"
109-1,LB171_Intro_Copy.docx,None found
109-1,LB172_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB173_Intro_Copy.docx,None found
109-1,LB174_Intro_Copy.docx,None found
109-1,LB175_Intro_Copy.docx,Department of Transportation
109-1,LB176_Intro_Copy.docx,None found
109-1,LB177_Final_Copy.docx,Department of Revenue
109-1,LB177A_Final_Copy.docx,None found
109-1,LB178_Intro_Copy.docx,None found
109-1,LB179_Final_Copy.docx,None found
109-1,LB17_Intro_Copy.docx,None found
109-1,LB180_Final_Copy.docx,"Department of Insurance, Department of Transportation"
109-1,LB181_Intro_Copy.docx,None found
109-1,LB182_Final_Copy.docx,Department of Revenue
109-1,LB183_Final_Copy.docx,None found
109-1,LB184_Intro_Copy.docx,None found
109-1,LB185_Final_Copy.docx,Department of Health and Human Services
109-1,LB186_Intro_Copy.docx,None found
109-1,LB187_Final_Copy.docx,None found
109-1,LB188_Intro_Copy.docx,Department of Health and Human Services
109-1,LB189_Intro_Copy.docx,Department of Administrative Services
109-1,LB18_Intro_Copy.docx,None found
109-1,LB190_Intro_Copy.docx,None found
109-1,LB191_Intro_Copy.docx,None found
109-1,LB192_Final_Copy.docx,"Department of Agriculture, Department of Health and Human Services"
109-1,LB193_Intro_Copy.docx,None found
109-1,LB194_Final_Copy.docx,Department of Revenue
109-1,LB195_Final_Copy.docx,None found
109-1,LB196_Final_Copy.docx,None found
109-1,LB197_Final_Copy.docx,None found
109-1,LB198_Final_Copy.docx,None found
109-1,LB199_Intro_Copy.docx,None found
109-1,LB19_Intro_Copy.docx,None found
109-1,LB1_Final_Copy.docx,None found
109-1,LB200_Intro_Copy.docx,None found
109-1,LB201_Intro_Copy.docx,None found
109-1,LB202_Intro_Copy.docx,None found
109-1,LB203_Intro_Copy.docx,Department of Health and Human Services
109-1,LB204_Intro_Copy.docx,None found
109-1,LB205_Intro_Copy.docx,None found
109-1,LB206_Intro_Copy.docx,None found
109-1,LB207_Intro_Copy.docx,None found
109-1,LB208_Final_Copy.docx,"Department of Administrative Services, Department of Agriculture, Department of Motor Vehicles, Department of Revenue"
109-1,LB209_Final_Copy.docx,None found
109-1,LB20_Final_Copy.docx,None found
109-1,LB210_Intro_Copy.docx,"Department of Insurance, Department of Health and Human Services"
109-1,LB211_Intro_Copy.docx,None found
109-1,LB212_Intro_Copy.docx,None found
109-1,LB213_Intro_Copy.docx,None found
109-1,LB214_Intro_Copy.docx,Department of Health and Human Services
109-1,LB215_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles"
109-1,LB215A_Intro_Copy.docx,None found
109-1,LB216_Intro_Copy.docx,None found
109-1,LB217_Final_Copy.docx,Department of Health and Human Services
109-1,LB218_Intro_Copy.docx,"Department of Administrative Services, Department of Motor Vehicles, Department of Revenue, Department of Veterans' Affairs"
109-1,LB219_Intro_Copy.docx,Department of Correctional Services
109-1,LB21_Final_Copy.docx,None found
109-1,LB220_Intro_Copy.docx,None found
109-1,LB221_Intro_Copy.docx,None found
109-1,LB222_Intro_Copy.docx,None found
109-1,LB223_Intro_Copy.docx,None found
109-1,LB224_Intro_Copy.docx,None found
109-1,LB225_Intro_Copy.docx,None found
109-1,LB226_Intro_Copy.docx,None found
109-1,LB227_Intro_Copy.docx,Department of Health and Human Services
109-1,LB228_Intro_Copy.docx,Department of Labor
109-1,LB229_Final_Copy.docx,None found
109-1,LB22_Final_Copy.docx,Department of Health and Human Services
109-1,LB22A_Final_Copy.docx,Department of Health and Human Services
109-1,LB230_Final_Copy.docx,Department of Revenue
109-1,LB230A_Final_Copy.docx,Department of Revenue
109-1,LB231_Final_Copy.docx,Department of Banking and Finance
109-1,LB232_Intro_Copy.docx,None found
109-1,LB233_Intro_Copy.docx,None found
109-1,LB234_Intro_Copy.docx,None found
109-1,LB235_Intro_Copy.docx,None found
109-1,LB236_Intro_Copy.docx,None found
109-1,LB237_Intro_Copy.docx,None found
109-1,LB238_Intro_Copy.docx,None found
109-1,LB239_Intro_Copy.docx,Department of Health and Human Services
109-1,LB23_Intro_Copy.docx,Department of Economic Development
109-1,LB240_Final_Copy.docx,None found
109-1,LB241_Final_Copy.docx,None found
109-1,LB242_Intro_Copy.docx,None found
109-1,LB243_Intro_Copy.docx,None found
109-1,LB244_Intro_Copy.docx,None found
109-1,LB245_Final_Copy.docx,Department of Agriculture
109-1,LB246_Final_Copy.docx,None found
109-1,LB247_Final_Copy.docx,None found
109-1,LB248_Final_Copy.docx,Department of Health and Human Services
109-1,LB249_Intro_Copy.docx,None found
109-1,LB24_Intro_Copy.docx,None found
109-1,LB250_Final_Copy.docx,None found
109-1,LB251_Final_Copy.docx,"Department of Banking and Finance, Department of Insurance"
109-1,LB252_Intro_Copy.docx,Department of Health and Human Services
109-1,LB253_Intro_Copy.docx,None found
109-1,LB254_Intro_Copy.docx,None found
109-1,LB255_Intro_Copy.docx,None found
109-1,LB256_Intro_Copy.docx,None found
109-1,LB257_Final_Copy.docx,None found
109-1,LB258_Final_Copy.docx,Department of Labor
109-1,LB259_Intro_Copy.docx,None found
109-1,LB25_Intro_Copy.docx,Department of Administrative Services
109-1,LB260_Final_Copy.docx,"Department of Administrative Services, Department of Health and Human Services, Department of Revenue"
109-1,LB261_Final_Copy.docx,"Department of Administrative Services, Department of Agriculture, Department of Banking and Finance, Department of Economic Development, Department of Insurance, Department of Labor, Information Management Services, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Transportation, Department of Veterans' Affairs, Military Department"
109-1,LB262_Final_Copy.docx,None found
109-1,LB263_Final_Copy.docx,"Department of Administrative Services, Department of Revenue"
109-1,LB264_Final_Copy.docx,"Department of Administrative Services, Department of Banking and Finance, Department of Economic Development, Department of Labor, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Transportation, Department of Veterans' Affairs, Military Department"
109-1,LB265_Final_Copy.docx,"Department of Administrative Services, Department of Economic Development, Department of Labor, Department of Health and Human Services"
109-1,LB266_Final_Copy.docx,None found
109-1,LB267_Intro_Copy.docx,None found
109-1,LB268_Intro_Copy.docx,Department of Health and Human Services
109-1,LB269_Intro_Copy.docx,Department of Revenue
109-1,LB26_Intro_Copy.docx,None found
109-1,LB270_Intro_Copy.docx,"Department of Administrative Services, Department of Labor, Department of Revenue"
109-1,LB271_Intro_Copy.docx,None found
109-1,LB272_Intro_Copy.docx,None found
109-1,LB273_Intro_Copy.docx,None found
109-1,LB274_Intro_Copy.docx,None found
109-1,LB275_Final_Copy.docx,Department of Health and Human Services
109-1,LB275A_Final_Copy.docx,Department of Health and Human Services
109-1,LB276_Intro_Copy.docx,None found
109-1,LB277_Intro_Copy.docx,None found
109-1,LB278_Intro_Copy.docx,Department of Health and Human Services
109-1,LB279_Intro_Copy.docx,None found
109-1,LB27_Intro_Copy.docx,None found
109-1,LB280_Intro_Copy.docx,None found
109-1,LB281_Intro_Copy.docx,None found
109-1,LB282_Intro_Copy.docx,None found
109-1,LB283_Intro_Copy.docx,Department of Health and Human Services
109-1,LB284_Intro_Copy.docx,Department of Health and Human Services
109-1,LB285_Intro_Copy.docx,None found
109-1,LB286_Final_Copy.docx,None found
109-1,LB287_Intro_Copy.docx,None found
109-1,LB288_Final_Copy.docx,"Department of Economic Development, Department of Labor"
109-1,LB288A_Final_Copy.docx,None found
109-1,LB289_Final_Copy.docx,None found
109-1,LB28_Intro_Copy.docx,None found
109-1,LB290_Final_Copy.docx,Department of Economic Development
109-1,LB291_Intro_Copy.docx,Department of Economic Development
109-1,LB292_Intro_Copy.docx,Department of Economic Development
109-1,LB292A_Intro_Copy.docx,None found
109-1,LB293_Final_Copy.docx,None found
109-1,LB293A_Final_Copy.docx,None found
109-1,LB294_Final_Copy.docx,None found
109-1,LB295_Final_Copy.docx,Department of Labor
109-1,LB296_Final_Copy.docx,Department of Health and Human Services
109-1,LB296A_Final_Copy.docx,None found
109-1,LB297_Final_Copy.docx,None found
109-1,LB298_Final_Copy.docx,"Department of Administrative Services, Department of Insurance, Department of Labor, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Veterans' Affairs"
109-1,LB298A_Final_Copy.docx,None found
109-1,LB299_Intro_Copy.docx,"Department of Administrative Services, Department of Labor"
109-1,LB29_Intro_Copy.docx,None found
109-1,LB2_Final_Copy.docx,None found
109-1,LB300_Intro_Copy.docx,None found
109-1,LB301_Intro_Copy.docx,"Department of Administrative Services, Department of Labor, Department of Correctional Services, Department of Revenue"
109-1,LB302_Final_Copy.docx,None found
109-1,LB303_Final_Copy.docx,None found
109-1,LB304_Intro_Copy.docx,Department of Health and Human Services
109-1,LB305_Intro_Copy.docx,Department of Revenue
109-1,LB306_Final_Copy.docx,"Department of Administrative Services, Department of Economic Development, Department of Health and Human Services"
109-1,LB306A_Intro_Copy.docx,None found
109-1,LB307_Intro_Copy.docx,None found
109-1,LB308_Intro_Copy.docx,Department of Labor
109-1,LB309_Intro_Copy.docx,None found
109-1,LB30_Intro_Copy.docx,None found
109-1,LB310_Intro_Copy.docx,Department of Health and Human Services
109-1,LB311_Final_Copy.docx,Department of Health and Human Services
109-1,LB312_Final_Copy.docx,None found
109-1,LB313_Intro_Copy.docx,None found
109-1,LB314_Intro_Copy.docx,None found
109-1,LB315_Intro_Copy.docx,None found
109-1,LB316_Final_Copy.docx,"Department of Agriculture, Department of Health and Human Services, Department of Revenue"
109-1,LB316A_Final_Copy.docx,Department of Revenue
109-1,LB317_Final_Copy.docx,"Department of Administrative Services, Department of Agriculture, Department of Banking and Finance, Department of Economic Development, Department of Insurance, Department of Labor, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Transportation, Department of Veterans' Affairs, Military Department"
109-1,LB318_Intro_Copy.docx,Department of Health and Human Services
109-1,LB319_Intro_Copy.docx,"Department of Agriculture, Department of Labor, Department of Health and Human Services"
109-1,LB31_Intro_Copy.docx,None found
109-1,LB320_Intro_Copy.docx,Department of Labor
109-1,LB321_Intro_Copy.docx,None found
109-1,LB322_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB323_Final_Copy.docx,"Department of Labor, Department of Transportation"
109-1,LB324_Intro_Copy.docx,None found
109-1,LB325_Final_Copy.docx,Department of Insurance
109-1,LB326_Final_Copy.docx,Department of Insurance
109-1,LB327_Intro_Copy.docx,None found
109-1,LB328_Intro_Copy.docx,"Department of Economic Development, Department of Revenue"
109-1,LB329_Intro_Copy.docx,None found
109-1,LB32_Final_Copy.docx,None found
109-1,LB330_Intro_Copy.docx,Department of Transportation
109-1,LB331_Intro_Copy.docx,"Department of Health and Human Services, Department of Revenue"
109-1,LB332_Final_Copy.docx,None found
109-1,LB333_Intro_Copy.docx,None found
109-1,LB334_Intro_Copy.docx,None found
109-1,LB335_Final_Copy.docx,None found
109-1,LB336_Intro_Copy.docx,"Department of Labor, Department of Health and Human Services"
109-1,LB337_Intro_Copy.docx,"Department of Motor Vehicles, Department of Transportation"
109-1,LB338_Intro_Copy.docx,None found
109-1,LB339_Intro_Copy.docx,Department of Health and Human Services
109-1,LB33_Intro_Copy.docx,None found
109-1,LB340_Intro_Copy.docx,None found
109-1,LB341_Final_Copy.docx,Department of Health and Human Services
109-1,LB342_Intro_Copy.docx,Department of Revenue
109-1,LB343_Intro_Copy.docx,Department of Motor Vehicles
109-1,LB344_Intro_Copy.docx,None found
109-1,LB345_Intro_Copy.docx,Department of Administrative Services
109-1,LB346_Final_Copy.docx,"Department of Administrative Services, Department of Economic Development, Department of Labor, Department of Health and Human Services, Department of Motor Vehicles, Department of Transportation"
109-1,LB347_Intro_Copy.docx,None found
109-1,LB348_Intro_Copy.docx,None found
109-1,LB349_Intro_Copy.docx,None found
109-1,LB34_Final_Copy.docx,None found
109-1,LB350_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB351_Intro_Copy.docx,None found
109-1,LB352_Intro_Copy.docx,None found
109-1,LB353_Intro_Copy.docx,None found
109-1,LB354_Intro_Copy.docx,Department of Revenue
109-1,LB355_Final_Copy.docx,"Department of Economic Development, Department of Labor"
109-1,LB356_Intro_Copy.docx,None found
109-1,LB357_Final_Copy.docx,None found
109-1,LB358_Intro_Copy.docx,None found
109-1,LB359_Intro_Copy.docx,None found
109-1,LB35_Intro_Copy.docx,None found
109-1,LB360_Intro_Copy.docx,None found
109-1,LB361_Intro_Copy.docx,None found
109-1,LB362_Final_Copy.docx,"Department of Health and Human Services, Department of Revenue"
109-1,LB363_Intro_Copy.docx,None found
109-1,LB364_Final_Copy.docx,None found
109-1,LB365_Intro_Copy.docx,Department of Health and Human Services
109-1,LB366_Intro_Copy.docx,None found
109-1,LB367_Intro_Copy.docx,None found
109-1,LB368_Intro_Copy.docx,None found
109-1,LB369_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB36_Final_Copy.docx,Department of Transportation
109-1,LB36A_Final_Copy.docx,None found
109-1,LB370_Intro_Copy.docx,None found
109-1,LB371_Final_Copy.docx,None found
109-1,LB372_Final_Copy.docx,None found
109-1,LB373_Final_Copy.docx,None found
109-1,LB374_Intro_Copy.docx,Department of Health and Human Services
109-1,LB375_Intro_Copy.docx,None found
109-1,LB376_Final_Copy.docx,"Department of Administrative Services, Department of Health and Human Services"
109-1,LB377_Final_Copy.docx,None found
109-1,LB378_Intro_Copy.docx,None found
109-1,LB379_Intro_Copy.docx,None found
109-1,LB37_Intro_Copy.docx,None found
109-1,LB380_Final_Copy.docx,Department of Health and Human Services
109-1,LB380A_Final_Copy.docx,None found
109-1,LB381_Intro_Copy.docx,None found
109-1,LB382_Final_Copy.docx,None found
109-1,LB382A_Final_Copy.docx,Department of Health and Human Services
109-1,LB383_Final_Copy.docx,"Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles"
109-1,LB384_Intro_Copy.docx,None found
109-1,LB385_Final_Copy.docx,None found
109-1,LB386_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB387_Intro_Copy.docx,Department of Correctional Services
109-1,LB388_Final_Copy.docx,None found
109-1,LB389_Intro_Copy.docx,Department of Revenue
109-1,LB38_Final_Copy.docx,None found
109-1,LB390_Final_Copy.docx,None found
109-1,LB391_Final_Copy.docx,None found
109-1,LB391A_Final_Copy.docx,Department of Revenue
109-1,LB392_Intro_Copy.docx,None found
109-1,LB393_Intro_Copy.docx,Department of Administrative Services
109-1,LB394_Intro_Copy.docx,Department of Agriculture
109-1,LB395_Intro_Copy.docx,"Department of Labor, Department of Health and Human Services, Department of Motor Vehicles"
109-1,LB396_Final_Copy.docx,None found
109-1,LB397_Intro_Copy.docx,"Department of Insurance, Department of Labor"
109-1,LB398_Final_Copy.docx,"Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue, Department of Transportation, Department of Veterans' Affairs"
109-1,LB399_Final_Copy.docx,None found
109-1,LB39_Intro_Copy.docx,Department of Banking and Finance
109-1,LB3_Intro_Copy.docx,None found
109-1,LB400_Intro_Copy.docx,None found
109-1,LB401_Intro_Copy.docx,"Department of Motor Vehicles, Department of Revenue"
109-1,LB402_Intro_Copy.docx,"Department of Labor, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue"
109-1,LB403_Intro_Copy.docx,None found
109-1,LB404_Intro_Copy.docx,None found
109-1,LB405_Intro_Copy.docx,None found
109-1,LB406_Intro_Copy.docx,None found
109-1,LB407_Intro_Copy.docx,Department of Correctional Services
109-1,LB408_Intro_Copy.docx,None found
109-1,LB409_Intro_Copy.docx,None found
109-1,LB40_Intro_Copy.docx,None found
109-1,LB410_Intro_Copy.docx,None found
109-1,LB411_Intro_Copy.docx,None found
109-1,LB412_Intro_Copy.docx,None found
109-1,LB413_Intro_Copy.docx,None found
109-1,LB414_Final_Copy.docx,None found
109-1,LB415_Final_Copy.docx,"Department of Labor, Department of Health and Human Services, Department of Motor Vehicles, Department of Revenue"
109-1,LB416_Intro_Copy.docx,None found
109-1,LB417_Intro_Copy.docx,None found
109-1,LB418_Intro_Copy.docx,None found
109-1,LB419_Final_Copy.docx,None found
109-1,LB41_Final_Copy.docx,None found
109-1,LB41A_Final_Copy.docx,None found
109-1,LB420_Intro_Copy.docx,None found
109-1,LB421_Intro_Copy.docx,Department of Revenue
109-1,LB422_Final_Copy.docx,Department of Health and Human Services
109-1,LB423_Intro_Copy.docx,Department of Economic Development
109-1,LB424_Intro_Copy.docx,Department of Labor
109-1,LB425_Intro_Copy.docx,None found
109-1,LB426_Intro_Copy.docx,None found
109-1,LB427_Intro_Copy.docx,None found
109-1,LB428_Final_Copy.docx,None found
109-1,LB429_Intro_Copy.docx,None found
109-1,LB42_Final_Copy.docx,Department of Health and Human Services
109-1,LB430_Intro_Copy.docx,None found
109-1,LB431_Intro_Copy.docx,Department of Health and Human Services
109-1,LB432_Intro_Copy.docx,Department of Correctional Services
109-1,LB433_Intro_Copy.docx,"Department of Banking and Finance, Department of Insurance, Department of Labor, Department of Correctional Services, Department of Health and Human Services, Department of Veterans' Affairs"
109-1,LB434_Final_Copy.docx,Department of Health and Human Services
109-1,LB435_Intro_Copy.docx,None found
109-1,LB436_Intro_Copy.docx,None found
109-1,LB437_Intro_Copy.docx,None found
109-1,LB438_Intro_Copy.docx,Department of Revenue
109-1,LB439_Intro_Copy.docx,Department of Revenue
109-1,LB43_Final_Copy.docx,None found
109-1,LB440_Intro_Copy.docx,None found
109-1,LB441_Intro_Copy.docx,None found
109-1,LB442_Intro_Copy.docx,Department of Health and Human Services
109-1,LB443_Intro_Copy.docx,None found
109-1,LB444_Intro_Copy.docx,None found
109-1,LB445_Intro_Copy.docx,"Department of Administrative Services, Department of Correctional Services, Department of Transportation"
109-1,LB446_Intro_Copy.docx,None found
109-1,LB447_Intro_Copy.docx,"Department of Economic Development, Department of Labor"
109-1,LB448_Intro_Copy.docx,None found
109-1,LB449_Intro_Copy.docx,None found
109-1,LB44_Intro_Copy.docx,None found
109-1,LB450_Intro_Copy.docx,None found
109-1,LB451_Intro_Copy.docx,None found
109-1,LB452_Intro_Copy.docx,Department of Health and Human Services
109-1,LB453_Final_Copy.docx,None found
109-1,LB454_Final_Copy.docx,None found
109-1,LB455_Intro_Copy.docx,None found
109-1,LB456_Intro_Copy.docx,None found
109-1,LB457_Final_Copy.docx,Department of Health and Human Services
109-1,LB458_Intro_Copy.docx,Department of Revenue
109-1,LB459_Intro_Copy.docx,None found
109-1,LB45_Intro_Copy.docx,None found
109-1,LB460_Intro_Copy.docx,Department of Administrative Services
109-1,LB461_Intro_Copy.docx,None found
109-1,LB462_Intro_Copy.docx,Department of Health and Human Services
109-1,LB463_Intro_Copy.docx,None found
109-1,LB464_Intro_Copy.docx,None found
109-1,LB465_Intro_Copy.docx,None found
109-1,LB466_Intro_Copy.docx,None found
109-1,LB467_Intro_Copy.docx,None found
109-1,LB468_Intro_Copy.docx,"Department of Administrative Services, Department of Insurance, Department of Revenue"
109-1,LB468A_Intro_Copy.docx,None found
109-1,LB469_Intro_Copy.docx,None found
109-1,LB46_Intro_Copy.docx,"Department of Agriculture, Department of Labor, Department of Health and Human Services"
109-1,LB470_Final_Copy.docx,None found
109-1,LB471_Intro_Copy.docx,None found
109-1,LB472_Intro_Copy.docx,None found
109-1,LB473_Intro_Copy.docx,Department of Banking and Finance
109-1,LB474_Final_Copy.docx,"Department of Banking and Finance, Department of Insurance, Department of Health and Human Services"
109-1,LB475_Intro_Copy.docx,None found
109-1,LB476_Intro_Copy.docx,Department of Agriculture
109-1,LB477_Intro_Copy.docx,None found
109-1,LB478_Final_Copy.docx,Department of Agriculture
109-1,LB479_Intro_Copy.docx,Department of Transportation
109-1,LB47_Intro_Copy.docx,Department of Economic Development
109-1,LB480_Intro_Copy.docx,None found
109-1,LB481_Intro_Copy.docx,Department of Health and Human Services
109-1,LB482_Intro_Copy.docx,None found
109-1,LB483_Intro_Copy.docx,Department of Correctional Services
109-1,LB484_Intro_Copy.docx,None found
109-1,LB485_Intro_Copy.docx,None found
109-1,LB486_Intro_Copy.docx,Department of Health and Human Services
109-1,LB487_Intro_Copy.docx,None found
109-1,LB488_Intro_Copy.docx,None found
109-1,LB489_Intro_Copy.docx,None found
109-1,LB48_Final_Copy.docx,Department of Health and Human Services
109-1,LB48A_Final_Copy.docx,Department of Health and Human Services
109-1,LB490_Final_Copy.docx,None found
109-1,LB491_Intro_Copy.docx,None found
109-1,LB492_Intro_Copy.docx,Department of Health and Human Services
109-1,LB493_Intro_Copy.docx,None found
109-1,LB494_Intro_Copy.docx,Department of Administrative Services
109-1,LB495_Intro_Copy.docx,None found
109-1,LB496_Intro_Copy.docx,None found
109-1,LB497_Intro_Copy.docx,Department of Health and Human Services
109-1,LB498_Intro_Copy.docx,None found
109-1,LB499_Final_Copy.docx,None found
109-1,LB49_Intro_Copy.docx,None found
109-1,LB4_Intro_Copy.docx,None found
109-1,LB500_Intro_Copy.docx,None found
109-1,LB501_Final_Copy.docx,None found
109-1,LB502_Intro_Copy.docx,None found
109-1,LB503_Intro_Copy.docx,Department of Revenue
109-1,LB504_Final_Copy.docx,None found
109-1,LB504A_Intro_Copy.docx,None found
109-1,LB505_Intro_Copy.docx,"Department of Agriculture, Department of Health and Human Services"
109-1,LB506_Intro_Copy.docx,None found
109-1,LB507_Intro_Copy.docx,None found
109-1,LB508_Intro_Copy.docx,None found
109-1,LB509_Intro_Copy.docx,Department of Revenue
109-1,LB50_Final_Copy.docx,Department of Revenue
109-1,LB510_Intro_Copy.docx,None found
109-1,LB511_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles"
109-1,LB512_Intro_Copy.docx,Department of Health and Human Services
109-1,LB513_Final_Copy.docx,None found
109-1,LB513A_Final_Copy.docx,None found
109-1,LB514_Intro_Copy.docx,None found
109-1,LB515_Intro_Copy.docx,None found
109-1,LB516_Intro_Copy.docx,None found
109-1,LB517_Intro_Copy.docx,None found
109-1,LB518_Intro_Copy.docx,Department of Correctional Services
109-1,LB519_Final_Copy.docx,None found
109-1,LB51_Final_Copy.docx,None found
109-1,LB520_Intro_Copy.docx,None found
109-1,LB521_Final_Copy.docx,"Department of Administrative Services, Department of Motor Vehicles"
109-1,LB522_Intro_Copy.docx,Department of Labor
109-1,LB523_Intro_Copy.docx,None found
109-1,LB524_Intro_Copy.docx,Department of Administrative Services
109-1,LB525_Intro_Copy.docx,None found
109-1,LB526_Final_Copy.docx,None found
109-1,LB527_Final_Copy.docx,Department of Health and Human Services
109-1,LB527A_Final_Copy.docx,None found
109-1,LB528_Intro_Copy.docx,Department of Economic Development
109-1,LB529_Final_Copy.docx,None found
109-1,LB52_Final_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB530_Final_Copy.docx,"Department of Labor, Department of Correctional Services, Department of Health and Human Services, Department of Motor Vehicles, Department of Transportation"
109-1,LB530A_Final_Copy.docx,None found
109-1,LB531_Intro_Copy.docx,Department of Economic Development
109-1,LB532_Intro_Copy.docx,Department of Labor
109-1,LB533_Intro_Copy.docx,None found
109-1,LB534_Final_Copy.docx,None found
109-1,LB535_Intro_Copy.docx,"Department of Correctional Services, Department of Health and Human Services"
109-1,LB536_Intro_Copy.docx,Department of Economic Development
109-1,LB537_Intro_Copy.docx,Department of Labor
109-1,LB538_Intro_Copy.docx,None found
109-1,LB538A_Intro_Copy.docx,None found
109-1,LB539_Intro_Copy.docx,None found
